Pig_Group_ID,Placement_Date,Nursery_Site,Nursery_Barn,Pig_Source,Production_Flow,Expected_Head,Received_Head,Avg_Weight_In_lb,Age_Days,Health_Status,Placement_Week,Notes,finisher_entry_date,finisher_site,finisher_barn,head_to_finisher,weight_at_finisher_entry,nursery_mortality,nursery_mortality_pct,days_in_nursery,nursery_weight_gain_lb,est_market_date,Instrument_Type,Buy_Sell,Trade_Date,Expiration_Date,Strike_or_Futures_Price_CWT,Option_or_LRP_Premium_CWT,Contract_Month,Coverage_Percent,Head_Covered,Contracts,effective_floor_cwt
PG-1017,2025-01-16,Nursery North,N1,External Wean Pig Supplier,Wean-to-Finish,2338,2285,11.55,21,Monitored,3,Dummy nursery intake data for capacity and flow planning,2025-03-25,Finisher West,FW2,2208,50.71,77,3.4,68,39.2,2025-07-15,Lean Hog Futures,Sell,2025-02-08,2025-06-10,79.93,0.0,25-Jun,0.86,2000,5,79.93
PG-1002,2025-01-24,Nursery South,NS2,External Wean Pig Supplier,Wean-to-Finish,2281,2274,12.49,21,Negative,4,Dummy nursery intake data for capacity and flow planning,2025-03-23,Finisher West,FW1,2222,54.21,52,2.3,58,41.7,2025-07-13,Lean Hog Put Option,Buy,2025-03-07,2025-06-30,88.2,4.09,25-Jun,0.53,1200,3,84.11
PG-1014,2025-02-02,Nursery South,NS2,Internal Sow Farm,Wean-to-Finish,2454,2431,13.97,20,Negative,5,Dummy nursery intake data for capacity and flow planning,2025-04-11,Finisher West,FW2,2340,62.97,91,3.7,68,49.0,2025-08-01,Lean Hog Futures,Sell,2025-02-23,2025-06-07,93.15,0.0,25-Jun,0.65,1600,4,93.15
PG-1011,2025-02-11,Nursery South,NS2,Internal Sow Farm,Wean-to-Finish,2383,2350,12.87,21,Negative,7,Dummy nursery intake data for capacity and flow planning,2025-04-20,Finisher West,FW1,2248,62.34,102,4.3,68,49.5,2025-08-10,Lean Hog Put Option,Buy,2025-04-04,2025-07-13,78.28,3.22,25-Jul,0.84,2000,5,75.06
PG-1015,2025-02-15,Nursery South,NS2,Internal Sow Farm,Wean-to-Finish,2596,2569,12.52,20,Negative,7,Dummy nursery intake data for capacity and flow planning,2025-04-17,Finisher West,FW1,2519,53.59,50,1.9,61,41.1,2025-08-07,LRP Policy,Buy,2025-03-17,2025-07-07,79.17,3.3,25-Jul,0.62,1600,4,75.87
PG-1016,2025-02-22,Nursery South,NS2,Internal Sow Farm,Wean-to-Finish,2406,2399,13.43,22,Monitored,8,Dummy nursery intake data for capacity and flow planning,2025-05-02,Finisher West,FW1,2307,63.16,92,3.8,69,49.7,2025-08-22,Lean Hog Put Option,Buy,2025-04-01,2025-07-28,77.18,1.97,25-Jul,0.83,2000,5,75.21000000000001
PG-1000,2025-03-01,Nursery North,N1,Internal Sow Farm,Nursery-to-Finish,2305,2248,12.45,20,Positive,9,Dummy nursery intake data for capacity and flow planning,2025-04-24,Finisher East,F1,2150,52.01,98,4.4,54,39.6,2025-08-14,Lean Hog Put Option,Buy,2025-03-30,2025-08-23,89.89,4.18,25-Aug,0.52,1200,3,85.71000000000001
PG-1004,2025-03-21,Nursery South,NS1,Internal Sow Farm,Wean-to-Finish,2139,2106,13.61,20,Negative,12,Dummy nursery intake data for capacity and flow planning,2025-05-23,Finisher West,FW1,2004,49.82,102,4.8,63,36.2,2025-09-12,Lean Hog Put Option,Buy,2025-04-16,2025-09-08,75.18,3.42,25-Sep,0.75,1600,4,71.76
PG-1005,2025-03-23,Nursery North,N2,Internal Sow Farm,Wean-to-Finish,2115,2107,11.9,19,Negative,12,Dummy nursery intake data for capacity and flow planning,2025-05-17,Finisher West,FW2,2000,59.15,107,5.1,55,47.2,2025-09-06,LRP Policy,Buy,2025-04-29,2025-09-25,88.2,3.38,25-Sep,0.57,1200,3,84.82000000000001
PG-1009,2025-04-06,Nursery North,N1,External Wean Pig Supplier,Wean-to-Finish,2512,2498,11.67,19,Negative,14,Dummy nursery intake data for capacity and flow planning,2025-06-09,Finisher West,FW1,2456,57.73,42,1.7,64,46.1,2025-09-29,LRP Policy,Buy,2025-05-06,2025-09-05,93.23,3.14,25-Sep,0.8,2000,5,90.09
PG-1007,2025-04-13,Nursery North,N1,External Wean Pig Supplier,Nursery-to-Finish,2466,2415,12.0,21,Negative,15,Dummy nursery intake data for capacity and flow planning,2025-06-13,Finisher East,F3,2316,58.45,99,4.1,61,46.4,2025-10-03,Lean Hog Futures,Sell,2025-05-19,2025-08-21,91.94,0.0,25-Aug,0.49,1200,3,91.94
PG-1003,2025-05-15,Nursery North,N1,Internal Sow Farm,Nursery-to-Finish,2160,2108,13.88,21,Monitored,20,Dummy nursery intake data for capacity and flow planning,2025-07-01,Finisher East,F2,2052,61.62,56,2.7,47,47.7,2025-10-21,Lean Hog Futures,Sell,2025-07-12,2025-11-01,80.15,0.0,25-Nov,0.56,1200,3,80.15
PG-1006,2025-05-23,Nursery South,NS2,External Wean Pig Supplier,Wean-to-Finish,2501,2496,10.53,21,Negative,21,Dummy nursery intake data for capacity and flow planning,2025-07-23,Finisher West,FW1,2414,48.76,82,3.3,61,38.2,2025-11-12,Lean Hog Put Option,Buy,2025-07-16,2025-10-25,75.91,3.65,25-Oct,0.64,1600,4,72.25999999999999
PG-1001,2025-06-13,Nursery South,NS1,External Wean Pig Supplier,Wean-to-Finish,2582,2570,10.43,18,Positive,24,Dummy nursery intake data for capacity and flow planning,2025-08-11,Finisher East,F3,2524,63.38,46,1.8,59,53.0,2025-12-01,LRP Policy,Buy,2025-07-21,2025-11-21,74.32,3.8,25-Nov,0.62,1600,4,70.52
PG-1012,2025-07-24,Nursery North,N2,External Wean Pig Supplier,Wean-to-Finish,2433,2427,13.49,18,Negative,30,Dummy nursery intake data for capacity and flow planning,2025-09-30,Finisher West,FW2,2382,54.07,45,1.9,68,40.6,2026-01-20,Lean Hog Futures,Sell,2025-09-17,2026-01-04,90.86,0.0,26-Jan,0.66,1600,4,90.86
PG-1008,2025-08-03,Nursery South,NS1,External Wean Pig Supplier,Nursery-to-Finish,2522,2471,13.61,21,Monitored,31,Dummy nursery intake data for capacity and flow planning,2025-09-23,Finisher East,F3,2386,57.3,85,3.4,51,43.7,2026-01-13,LRP Policy,Buy,2025-09-18,2026-01-31,88.74,3.51,26-Jan,0.79,2000,5,85.22999999999999
PG-1010,2025-08-04,Nursery North,N2,Internal Sow Farm,Wean-to-Finish,2242,2194,13.84,18,Positive,32,Dummy nursery intake data for capacity and flow planning,2025-10-06,Finisher West,FW2,2113,56.88,81,3.7,63,43.0,2026-01-26,LRP Policy,Buy,2025-09-14,2026-01-19,74.37,1.99,26-Jan,0.54,1200,3,72.38000000000001
PG-1013,2025-08-24,Nursery North,N1,Internal Sow Farm,Wean-to-Finish,2206,2182,10.64,22,Negative,34,Dummy nursery intake data for capacity and flow planning,2025-10-27,Finisher East,F2,2090,46.54,92,4.2,64,35.9,2026-02-16,Lean Hog Put Option,Buy,2025-09-14,2026-01-18,86.12,2.03,26-Jan,0.54,1200,3,84.09
